,antenna_aperture_tuner,battery_back_void_foam_pad,battery_pouch,bottom_mic,bottom_microphone_mesh_1,bottom_microphone_mesh_2,bottom_microphone_port_1,bottom_microphone_port_2,bottom_speaker_acoustic_chamber,bottom_speaker_dust_mesh,bottom_speaker_grille_slot_1,bottom_speaker_grille_slot_2,bottom_speaker_grille_slot_3,bottom_speaker_grille_slot_4,bottom_speaker_grille_slot_5,bottom_speaker_module,cellular_bottom_antenna_keepout,cellular_top_antenna_keepout,display_fpc_bend_keepout,display_fpc_connector,display_lcm,earpiece_gasket,earpiece_receiver,front_camera_black_mask_window,front_camera_module,front_camera_under_glass,glass_perimeter_cushion_bottom,glass_perimeter_cushion_left,glass_perimeter_cushion_right,glass_perimeter_cushion_top,handset_acoustic_mesh,handset_acoustic_slot,haptic_lra,main_pcb,orange_back_shell,orange_battery_left_rib,orange_battery_right_rib,orange_corner_rib_1,orange_corner_rib_1_leg,orange_corner_rib_2,orange_corner_rib_2_leg,orange_corner_rib_3,orange_corner_rib_3_leg,orange_corner_rib_4,orange_corner_rib_4_leg,orange_rear_camera_bezel_bottom,orange_rear_camera_bezel_left,orange_rear_camera_bezel_right,orange_rear_camera_bezel_top,orange_rear_flash_bezel_bottom,orange_rear_flash_bezel_left,orange_rear_flash_bezel_right,orange_rear_flash_bezel_top,orange_screw_boss_1,orange_screw_boss_10,orange_screw_boss_2,orange_screw_boss_3,orange_screw_boss_4,orange_screw_boss_5,orange_screw_boss_6,orange_screw_boss_7,orange_screw_boss_8,orange_screw_boss_9,orange_side_frame,orange_snap_hook_1,orange_snap_hook_2,orange_snap_hook_3,orange_snap_hook_4,orange_snap_hook_5,orange_snap_hook_6,orange_snap_hook_7,orange_snap_hook_8,orange_usb_reinforcement_saddle,pmic_shield_can,power_button_cap,power_button_elastomer_gasket,power_button_labyrinth_lower_rail,power_button_labyrinth_upper_rail,radio_shield_can,rear_camera_cover_adhesive_bottom,rear_camera_cover_adhesive_left,rear_camera_cover_adhesive_right,rear_camera_cover_adhesive_top,rear_camera_cover_glass,rear_camera_lens_window,rear_camera_light_baffle_bottom,rear_camera_light_baffle_top,rear_camera_module,rear_camera_shell_aperture,rear_flash_camera_septum,rear_flash_led,rear_flash_led_window,rear_flash_shell_aperture,screen_adhesive_bottom,screen_adhesive_left,screen_adhesive_right,screen_adhesive_top,screen_cover_glass,service_label_recess,sim_tray_keepout,sim_tray_outline,soc_shield_can,split_interconnect_bottom_connector,split_interconnect_bottom_flex_tail,split_interconnect_side_flex,split_interconnect_top_connector,split_interconnect_top_flex_tail,top_mic,top_microphone_mesh,top_microphone_port,usb_c_external_aperture,usb_c_internal_drain_shelf,usb_c_molded_drip_break_lip,usb_c_perimeter_gasket_bottom,usb_c_perimeter_gasket_left,usb_c_perimeter_gasket_right,usb_c_perimeter_gasket_top,usb_c_receptacle,volume_button_cap,volume_button_elastomer_gasket,volume_button_labyrinth_lower_rail,volume_button_labyrinth_upper_rail,wifi_bt_side_antenna_keepout
screen_cover_glass,6.55,9.77,3.75,6.0,5.85,5.85,6.05,6.05,8.2,4.15,4.55,4.55,4.55,4.55,4.55,5.8,5.3,5.3,4.75,5.625,0.18,1.125,2.95,0.0,2.6,0.0,0.35,0.35,0.35,0.35,0.05,0.15,7.15,6.9,9.9,7.5,7.5,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,10.96,10.96,10.96,10.96,10.98,10.98,10.98,10.98,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,0.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,7.1,5.6,5.05,4.825,4.675,4.675,5.5,10.39,10.39,10.39,10.39,10.55,10.55,10.475,10.475,4.4,11.075,7.85,9.05,10.6,11.075,0.06,0.06,0.06,0.06,0.0,11.055,5.0,4.0,5.5,6.0,6.96,6.96,6.0,6.96,6.0,5.85,6.05,4.85,8.86,8.945,8.595,4.5,4.5,4.355,5.175,5.05,4.825,4.675,4.675,5.3
service_label_recess,10.5,1.105,1.705,10.975,20.24,20.24,20.42,20.42,1.1954,20.22,20.415,20.415,20.415,20.415,20.415,2.0,12.1,115.7,103.8,100.7,7.485,115.5,113.1,112.6,111.85,113.4,18.585,21.55,21.55,122.185,116.44,116.0,16.5,3.355,0.0,12.625,12.625,105.3,105.3,105.3,105.3,13.0,13.0,13.0,13.0,98.8,99.8,99.8,110.4,103.55,104.0,104.0,106.2,103.2,83.2,103.2,10.9,10.9,65.2,65.2,25.2,25.2,83.2,19.35,96.8,68.8,20.8,20.45,96.8,68.8,20.8,20.45,11.1,97.3,61.3,60.8,60.35,73.45,87.3,99.995,100.5,100.5,109.755,100.5,101.7,101.075,108.775,100.1,99.8,100.95,104.6,104.3,104.0,18.585,21.55,21.55,122.185,11.055,0.0,18.3,22.45,94.3,4.155,6.0,17.3,83.6,83.8,114.575,123.84,124.02,20.405,17.7,19.855,19.955,19.955,19.955,19.955,12.5,50.8,50.3,49.85,71.95,87.8
sim_tray_keepout,50.55,2.77,0.0,40.8,47.54,47.54,47.72,47.72,28.3,47.52,47.715,47.715,47.715,47.715,47.715,29.3,39.4,75.4,63.5,60.4,1.43,75.2,72.8,72.3,71.55,73.1,45.885,62.1,4.4,81.885,76.14,75.7,9.0,22.0,2.9,53.175,0.5,65.0,65.0,65.0,65.0,53.55,53.55,29.0,29.0,58.5,59.5,59.5,70.1,63.25,63.7,63.7,65.9,62.9,42.9,62.9,51.45,26.9,51.45,24.9,51.45,0.7,51.45,0.0,61.0,61.0,61.0,61.0,56.5,28.5,0.0,20.5,38.4,57.0,21.0,20.5,20.05,33.15,47.0,59.695,60.2,60.2,69.455,60.2,61.4,60.775,68.475,59.8,59.5,60.65,64.3,64.0,63.7,45.885,62.1,4.76,81.885,5.0,18.3,0.0,0.0,54.0,22.3,22.5,0.0,43.3,43.5,74.275,83.54,83.72,47.705,45.0,47.155,47.255,47.255,47.255,47.255,39.8,63.1,62.65,62.325,62.325,47.5
sim_tray_outline,64.45,8.45,6.45,54.7,59.75,54.75,59.95,54.95,30.3,49.52,49.715,49.715,49.715,49.715,49.715,31.3,41.4,77.4,65.5,62.4,3.06,77.2,74.8,74.3,73.55,75.1,47.885,76.0,3.4,83.885,78.14,77.7,11.0,6.45,1.9,67.075,9.075,67.45,67.45,67.0,67.0,67.45,67.45,31.0,31.0,60.5,61.5,61.5,72.1,65.25,65.7,65.7,67.9,65.35,44.9,64.9,65.35,28.9,65.35,26.9,65.35,7.35,65.35,0.0,74.9,74.9,74.9,74.9,58.5,30.5,0.7,22.5,40.4,59.0,23.0,22.5,22.05,35.15,51.45,61.695,62.2,62.2,71.455,62.2,63.4,62.775,70.475,61.8,61.5,62.65,66.3,66.0,65.7,47.885,76.0,3.76,83.885,4.0,22.45,0.0,0.0,56.0,24.3,24.5,2.75,45.3,45.5,76.275,85.54,85.72,49.705,47.0,49.155,49.255,49.255,49.255,49.255,41.8,77.0,76.55,76.225,76.225,49.5
soc_shield_can,113.8,14.0,10.5,114.275,123.54,123.54,123.72,123.72,104.3,123.52,123.715,123.715,123.715,123.715,123.715,105.3,115.4,5.4,10.0,11.5,1.93,5.2,2.8,6.06,1.55,6.075,121.885,21.55,35.55,11.885,6.14,6.155,85.0,0.2,3.2,12.625,26.625,13.0,13.0,27.0,27.0,105.0,105.0,105.0,105.0,12.7,12.7,24.3,12.7,9.35,9.35,12.0,9.35,10.9,24.9,24.9,102.9,102.9,24.9,24.9,64.9,64.9,10.9,12.65,20.45,20.5,68.5,96.5,34.45,34.45,68.5,96.5,114.4,5.0,36.55,36.1,35.775,35.775,0.0,13.95,13.895,23.655,13.95,14.4,15.6,14.85,14.85,14.0,13.7,12.9,10.4,10.1,9.8,121.885,21.55,35.55,11.885,5.5,94.3,54.0,56.0,0.0,98.3,98.5,31.3,12.0,20.0,14.25,15.3,15.5,123.705,121.0,123.155,123.255,123.255,123.255,123.255,115.8,22.55,22.1,43.65,21.775,2.0
split_interconnect_bottom_connector,40.0,4.3,0.8,30.25,35.3,30.3,35.5,30.5,3.6,22.82,23.015,23.015,23.015,23.015,23.015,4.6,14.7,119.7,107.8,104.7,2.43,119.5,117.1,116.6,115.85,117.4,21.185,51.55,7.55,126.185,120.44,120.0,2.5,0.0,3.0,42.625,0.6,109.3,109.3,109.3,109.3,43.0,43.0,4.3,4.3,102.8,103.8,103.8,114.4,107.55,108.0,108.0,110.2,107.2,87.2,107.2,40.9,2.2,69.2,69.2,40.9,29.2,87.2,7.85,100.8,72.8,50.45,50.45,100.8,72.8,24.8,6.45,13.7,101.3,65.3,64.8,64.35,77.45,91.3,103.995,104.5,104.5,113.755,104.5,105.7,105.075,112.775,104.1,103.8,104.95,108.6,108.3,108.0,21.185,51.55,7.55,126.185,6.0,4.155,22.3,24.3,98.3,0.0,0.06,3.3,87.6,87.8,118.575,127.84,128.02,23.005,20.3,22.455,22.555,22.555,22.555,22.555,15.1,54.8,54.3,53.85,75.95,91.8
split_interconnect_bottom_flex_tail,48.0,4.5,1.0,38.25,43.3,38.3,43.5,38.5,3.8,23.02,23.215,23.215,23.215,23.215,23.215,4.8,14.9,119.9,108.0,104.9,3.39,119.7,117.3,116.8,116.05,117.6,21.385,59.55,6.36,126.385,120.64,120.2,1.5,0.0,2.76,50.625,0.36,109.5,109.5,109.5,109.5,51.0,51.0,4.5,4.5,103.0,104.0,104.0,114.6,107.75,108.2,108.2,110.4,107.4,87.4,107.4,48.9,2.4,69.4,69.4,48.9,29.4,87.4,3.35,101.0,73.0,58.45,58.45,101.0,73.0,25.0,1.95,13.9,101.5,65.5,65.0,64.55,77.65,91.5,104.195,104.7,104.7,113.955,104.7,105.9,105.275,112.975,104.3,104.0,105.15,108.8,108.5,108.2,21.385,59.55,6.72,126.385,6.96,6.0,22.5,24.5,98.5,0.06,0.0,0.0,87.8,88.0,118.775,128.04,128.22,23.205,20.5,22.655,22.755,27.245,22.755,22.755,17.53,60.55,60.1,59.775,76.15,92.0
split_interconnect_side_flex,59.3,3.3,1.3,49.55,54.6,49.6,54.8,49.8,5.8,25.02,25.215,25.215,25.215,25.215,25.215,7.3,16.9,31.9,20.0,16.9,3.39,31.7,29.3,49.8,49.05,50.6,23.385,70.85,6.36,38.385,32.64,32.2,0.01,1.3,2.76,61.925,3.925,62.3,62.3,21.5,21.5,62.3,62.3,6.5,6.5,15.0,17.6,16.0,26.6,19.75,21.5,20.2,22.4,60.2,2.2,19.4,60.2,4.4,60.2,2.2,60.2,2.2,60.2,2.15,69.75,69.75,69.75,69.75,13.0,0.7524,0.7524,0.7524,24.3,15.3,2.85,2.4,2.075,2.075,46.3,16.195,16.955,16.7,25.955,16.7,17.9,17.275,24.975,16.3,16.0,17.8,20.8,20.5,20.2,23.385,70.85,6.72,38.385,6.96,17.3,0.0,2.75,31.3,3.3,0.0,0.0,3.3,0.0,30.775,40.04,40.22,28.2,26.9,26.7,27.6,38.545,27.705,27.6,28.83,71.85,71.4,71.075,71.075,4.0
split_interconnect_top_connector,103.1,3.3,0.0,103.575,112.84,112.84,113.02,113.02,93.6,112.82,113.015,113.015,113.015,113.015,113.015,94.6,104.7,29.7,17.8,14.7,2.43,29.5,27.1,30.5,29.75,31.3,111.185,51.55,7.55,36.185,30.44,30.0,74.3,0.0,3.0,42.625,0.6,43.0,43.0,19.3,19.3,94.3,94.3,94.3,94.3,12.8,13.8,13.8,24.4,17.55,18.0,18.0,20.2,40.9,0.8,17.2,92.2,92.2,40.9,14.2,54.2,54.2,40.9,7.85,50.45,50.45,57.8,85.8,10.8,9.8,57.8,85.8,103.7,11.3,10.3,9.8,22.45,9.35,27.0,13.995,14.5,14.5,23.755,14.5,15.7,15.075,22.775,14.1,13.8,14.95,18.6,18.3,18.0,111.185,51.55,7.55,36.185,6.0,83.6,43.3,45.3,12.0,87.6,87.8,3.3,0.0,0.06,28.575,37.84,38.02,113.005,110.3,112.455,112.555,112.555,112.555,112.555,105.1,52.55,52.1,51.775,51.775,1.8
split_interconnect_top_flex_tail,103.3,3.5,0.0,103.775,113.04,113.04,113.22,113.22,93.8,113.02,113.215,113.215,113.215,113.215,113.215,94.8,104.9,29.9,18.0,14.9,3.39,29.7,27.3,38.5,37.75,39.3,111.385,59.55,6.36,36.385,30.64,30.2,74.5,0.0,2.76,50.625,0.36,51.0,51.0,19.5,19.5,94.5,94.5,94.5,94.5,13.0,14.0,14.0,24.6,17.75,18.2,18.2,20.4,48.9,0.56,17.4,92.4,92.4,48.9,14.4,54.4,54.4,48.9,3.35,58.45,58.45,58.45,86.0,11.0,10.0,58.0,86.0,103.9,11.5,10.5,10.0,22.65,9.55,35.0,14.195,14.7,14.7,23.955,14.7,15.9,15.275,22.975,14.3,14.0,15.15,18.8,18.5,18.2,111.385,59.55,6.72,36.385,6.96,83.8,43.5,45.5,20.0,87.8,88.0,0.0,0.06,0.0,28.775,38.04,38.22,113.205,110.5,112.655,112.755,112.755,112.755,112.755,105.3,60.55,60.1,59.775,59.775,2.0
top_mic,134.075,34.275,30.775,134.55,143.815,143.815,143.995,143.995,124.575,143.795,143.99,143.99,143.99,143.99,143.99,125.575,135.675,0.0,1.226,10.675,8.19,7.25,10.25,32.75,32.0,33.55,142.16,53.8,17.8,5.4,7.5,8.25,105.275,1.275,2.9,44.875,25.275,45.25,45.25,9.25,9.25,125.275,125.275,125.275,125.275,14.775,4.175,6.55,3.96,10.575,8.375,8.375,7.925,43.15,27.175,7.175,123.175,123.175,45.175,45.175,85.175,85.175,43.15,5.725,52.7,52.7,88.775,116.775,16.7,40.775,88.775,116.775,134.675,7.275,41.275,40.775,53.425,40.325,29.25,14.13,4.875,5.905,4.37,4.875,6.075,13.15,5.45,4.475,4.175,5.325,8.975,8.675,8.375,142.16,53.8,17.8,5.76,6.0,114.575,74.275,76.275,14.25,118.575,118.775,30.775,28.575,28.775,0.0,6.615,6.795,143.98,141.275,143.43,143.53,143.53,143.53,143.53,136.075,54.8,54.35,63.925,54.025,21.775
top_microphone_mesh,143.34,43.54,40.04,143.815,153.08,153.08,153.26,153.26,133.84,153.06,153.255,153.255,153.255,153.255,153.255,134.84,144.94,2.14,10.04,19.94,17.455,8.3,11.3,33.8,33.05,34.6,151.425,54.85,18.85,5.25,8.55,9.3,114.54,10.54,2.65,45.925,34.54,46.3,46.3,17.64,11.54,134.54,134.54,134.54,134.54,24.04,13.44,13.44,12.44,19.84,17.64,17.64,17.19,44.2,36.44,16.44,132.44,132.44,54.44,54.44,94.44,94.44,44.2,0.0,53.75,53.75,98.04,126.04,22.04,50.04,98.04,126.04,143.94,16.54,50.54,50.04,62.69,49.59,30.3,23.395,14.14,14.14,13.635,14.14,15.34,22.415,14.715,13.74,13.44,14.59,18.24,17.94,17.64,151.425,54.85,18.85,5.61,5.85,123.84,83.54,85.54,15.3,127.84,128.04,40.04,37.84,38.04,6.615,0.0,0.06,153.245,150.54,152.695,152.795,152.795,152.795,152.795,145.34,55.85,55.4,73.19,55.075,31.04
top_microphone_port,143.52,43.72,40.22,143.995,153.26,153.26,153.44,153.44,134.02,153.24,153.435,153.435,153.435,153.435,153.435,135.02,145.12,2.32,10.22,20.12,17.635,8.5,11.5,34.0,33.25,34.8,151.605,55.05,19.05,5.45,8.75,9.5,114.72,10.72,2.85,46.125,34.72,46.5,46.5,17.82,11.72,134.72,134.72,134.72,134.72,24.22,13.62,13.62,12.62,20.02,17.82,17.82,17.37,44.4,36.62,16.62,132.62,132.62,54.62,54.62,94.62,94.62,44.4,0.1,53.95,53.95,98.22,126.22,22.22,50.22,98.22,126.22,144.12,16.72,50.72,50.22,62.87,49.77,30.5,23.575,14.32,14.32,13.815,14.32,15.52,22.595,14.895,13.92,13.62,14.77,18.42,18.12,17.82,151.605,55.05,19.05,5.81,6.05,124.02,83.72,85.72,15.5,128.02,128.22,40.22,38.02,38.22,6.795,0.06,0.0,153.425,150.72,152.875,152.975,152.975,152.975,152.975,145.52,56.05,55.6,73.37,55.275,31.22
usb_c_external_aperture,20.9,29.705,26.205,11.15,16.2,11.2,16.4,11.4,6.405,4.4,5.8,8.8,11.8,14.8,17.8,7.405,2.305,145.105,133.205,130.105,6.62,144.905,142.505,142.005,141.255,142.805,4.25,32.45,32.45,151.59,145.845,145.405,27.4,10.705,1.45,23.525,23.525,134.705,134.705,134.705,134.705,23.9,23.9,23.9,23.9,128.205,129.205,129.205,139.805,132.955,133.405,133.405,135.605,132.605,112.605,132.605,21.8,21.8,94.605,94.605,54.605,54.605,112.605,0.3,126.205,98.205,50.205,31.35,126.205,98.205,50.205,31.35,7.305,126.705,90.705,90.205,89.755,102.855,116.705,129.4,129.905,129.905,139.16,129.905,131.105,130.48,138.18,129.505,129.205,130.355,134.005,133.705,133.405,4.61,32.45,32.45,151.59,4.85,20.405,47.705,49.705,123.705,23.005,23.205,28.2,113.005,113.205,143.98,153.245,153.425,0.0,0.6505,0.505,0.145,0.145,0.145,0.145,0.105,80.205,79.705,79.255,101.355,117.205
usb_c_internal_drain_shelf,19.6,27.0,23.5,9.85,14.9,9.9,15.1,10.1,3.7,3.1,4.5,7.5,10.5,13.5,16.5,4.7,1.56,142.4,130.5,127.4,5.29,142.2,139.8,139.3,138.55,140.1,8.26,31.15,31.15,148.885,143.14,142.7,26.1,8.0,0.76,22.225,22.225,132.0,132.0,132.0,132.0,22.6,22.6,22.6,22.6,125.5,126.5,126.5,137.1,130.25,130.7,130.7,132.9,129.9,109.9,129.9,20.5,20.5,91.9,91.9,51.9,51.9,109.9,0.0,123.5,95.5,47.5,30.05,123.5,95.5,47.5,30.05,4.6,124.0,88.0,87.5,87.05,100.15,114.0,126.695,127.2,127.2,136.455,127.2,128.4,127.775,135.475,126.8,126.5,127.65,131.3,131.0,130.7,8.62,31.15,31.15,148.885,8.86,17.7,45.0,47.0,121.0,20.3,20.5,26.9,110.3,110.5,141.275,150.54,150.72,0.6505,0.0,0.0,0.055,0.0814,0.0814,4.155,0.435,77.5,77.0,76.55,98.65,114.5
usb_c_molded_drip_break_lip,19.4,29.155,25.655,9.65,14.7,9.7,14.9,9.9,5.855,2.9,4.3,7.3,10.3,13.3,16.3,6.855,1.755,144.555,132.655,129.555,6.07,144.355,141.955,141.455,140.705,142.255,8.345,30.95,30.95,151.04,145.295,144.855,26.155,10.155,0.505,22.025,22.025,134.155,134.155,134.155,134.155,22.4,22.4,22.4,22.4,127.655,128.655,128.655,139.255,132.405,132.855,132.855,135.055,132.055,112.055,132.055,20.3,20.3,94.055,94.055,54.055,54.055,112.055,0.0,125.655,97.655,49.655,29.85,125.655,97.655,49.655,29.85,6.755,126.155,90.155,89.655,89.205,102.305,116.155,128.85,129.355,129.355,138.61,129.355,130.555,129.93,137.63,128.955,128.655,129.805,133.455,133.155,132.855,8.705,30.95,30.95,151.04,8.945,19.855,47.155,49.155,123.155,22.455,22.655,26.7,112.455,112.655,143.43,152.695,152.875,0.505,0.0,0.0,0.0,0.145,0.145,4.24,0.52,79.655,79.155,78.705,100.805,116.655
usb_c_perimeter_gasket_bottom,20.3,29.255,25.755,10.55,15.6,10.6,15.8,10.8,5.955,3.8,5.2,8.2,11.2,14.2,17.2,6.955,1.855,144.655,132.755,129.655,6.17,144.455,142.055,141.555,140.805,142.355,7.995,31.85,31.85,151.14,145.395,144.955,26.8,10.255,0.955,22.925,22.925,134.255,134.255,134.255,134.255,23.3,23.3,23.3,23.3,127.755,128.755,128.755,139.355,132.505,132.955,132.955,135.155,132.155,112.155,132.155,21.2,21.2,94.155,94.155,54.155,54.155,112.155,0.0,125.755,97.755,49.755,30.75,125.755,97.755,49.755,30.75,6.855,126.255,90.255,89.755,89.305,102.405,116.255,128.95,129.455,129.455,138.71,129.455,130.655,130.03,137.73,129.055,128.755,129.905,133.555,133.255,132.955,8.355,31.85,31.85,151.14,8.595,19.955,47.255,49.255,123.255,22.555,22.755,27.6,112.555,112.755,143.53,152.795,152.975,0.145,0.055,0.0,0.0,0.0,0.0,3.89,0.17,79.755,79.255,78.805,100.905,116.755
usb_c_perimeter_gasket_left,20.405,29.255,25.755,10.655,15.705,10.705,15.905,10.905,15.345,14.745,16.145,19.145,22.145,25.145,28.145,16.245,1.855,144.655,132.755,129.655,6.17,144.455,142.055,141.555,140.805,142.355,3.9,31.955,42.795,151.14,145.395,144.955,37.745,10.255,1.1,23.03,33.87,134.255,134.255,134.255,134.255,23.405,23.405,34.245,34.245,127.755,128.755,128.755,139.355,132.505,132.955,132.955,135.155,132.155,112.155,132.155,21.305,32.145,94.155,94.155,54.155,54.155,112.155,0.0,125.755,97.755,49.755,30.855,125.755,97.755,49.755,41.695,6.855,126.255,90.255,89.755,89.305,102.405,116.255,128.95,129.455,129.455,138.71,129.455,130.655,130.03,137.73,129.055,128.755,129.905,133.555,133.255,132.955,4.26,31.955,42.795,151.14,4.5,19.955,47.255,49.255,123.255,22.555,27.245,38.545,112.555,112.755,143.53,152.795,152.975,0.145,0.0814,0.145,0.0,0.0,10.49,0.0,0.775,79.755,79.255,78.805,100.905,116.755
usb_c_perimeter_gasket_right,31.245,29.255,25.755,21.495,26.545,21.545,26.745,21.745,5.955,3.905,5.305,8.305,11.305,14.305,17.305,6.955,1.855,144.655,132.755,129.655,6.17,144.455,142.055,141.555,140.805,142.355,3.9,42.795,31.955,151.14,145.395,144.955,26.905,10.255,1.1,33.87,23.03,134.255,134.255,134.255,134.255,34.245,34.245,23.405,23.405,127.755,128.755,128.755,139.355,132.505,132.955,132.955,135.155,132.155,112.155,132.155,32.145,21.305,94.155,94.155,54.155,54.155,112.155,0.0,125.755,97.755,49.755,41.695,125.755,97.755,49.755,30.855,6.855,126.255,90.255,89.755,89.305,102.405,116.255,128.95,129.455,129.455,138.71,129.455,130.655,130.03,137.73,129.055,128.755,129.905,133.555,133.255,132.955,4.26,42.795,31.955,151.14,4.5,19.955,47.255,49.255,123.255,22.555,22.755,27.705,112.555,112.755,143.53,152.795,152.975,0.145,0.0814,0.145,0.0,10.49,0.0,0.0,0.775,79.755,79.255,78.805,100.905,116.755
usb_c_perimeter_gasket_top,20.3,29.255,25.755,10.55,15.6,10.6,15.8,10.8,5.955,3.8,5.2,8.2,11.2,14.2,17.2,6.955,1.855,144.655,132.755,129.655,6.17,144.455,142.055,141.555,140.805,142.355,3.755,31.85,31.85,151.14,145.395,144.955,26.8,10.255,5.195,22.925,22.925,134.255,134.255,134.255,134.255,23.3,23.3,23.3,23.3,127.755,128.755,128.755,139.355,132.505,132.955,132.955,135.155,132.155,112.155,132.155,21.2,21.2,94.155,94.155,54.155,54.155,112.155,0.0,125.755,97.755,49.755,30.75,125.755,97.755,49.755,30.75,6.855,126.255,90.255,89.755,89.305,102.405,116.255,128.95,129.455,129.455,138.71,129.455,130.655,130.03,137.73,129.055,128.755,129.905,133.555,133.255,132.955,4.115,31.85,31.85,151.14,4.355,19.955,47.255,49.255,123.255,22.555,22.755,27.6,112.555,112.755,143.53,152.795,152.975,0.145,4.155,4.24,3.89,0.0,0.0,0.0,0.47,79.755,79.255,78.805,100.905,116.755
usb_c_receptacle,21.53,21.8,18.3,11.78,16.83,11.83,17.03,12.03,5.63,5.03,6.43,9.43,12.43,15.43,18.43,6.53,0.0,137.2,125.3,122.2,1.605,137.0,134.6,134.1,133.35,134.9,4.575,33.08,33.08,143.685,137.94,137.5,28.03,2.8,1.475,24.155,24.155,126.8,126.8,126.8,126.8,24.53,24.53,24.53,24.53,120.3,121.3,121.3,131.9,125.05,125.5,125.5,127.7,124.7,104.7,124.7,22.43,22.43,86.7,86.7,46.7,46.7,104.7,0.325,118.3,90.3,42.3,31.98,118.3,90.3,42.3,31.98,0.0,118.8,82.8,82.3,81.85,94.95,108.8,121.495,122.0,122.0,131.255,122.0,123.2,122.575,130.275,121.6,121.3,122.45,126.1,125.8,125.5,4.935,33.08,33.08,143.685,5.175,12.5,39.8,41.8,115.8,15.1,17.53,28.83,105.1,105.3,136.075,145.34,145.52,0.105,0.435,0.52,0.17,0.775,0.775,0.47,0.0,72.3,71.8,71.35,93.45,109.3
volume_button_cap,70.3,8.55,6.55,70.775,80.04,80.04,80.22,80.22,60.8,80.02,80.215,80.215,80.215,80.215,80.215,61.8,71.9,43.9,50.55,52.05,3.16,43.7,41.3,40.8,40.05,41.6,78.385,4.45,76.1,50.385,44.64,44.2,71.05,6.55,3.75,9.175,67.175,33.5,33.5,67.55,67.55,61.5,61.5,67.55,67.55,53.25,53.25,64.85,53.25,49.9,49.9,52.55,49.9,31.4,65.45,65.45,59.4,65.45,7.45,65.45,21.4,65.45,11.4,0.3,25.0,0.8,25.0,53.0,75.0,75.0,75.0,75.0,70.9,45.55,77.1,76.65,76.325,76.325,15.5,54.5,54.445,64.205,54.5,54.95,56.15,55.4,55.4,54.55,54.25,53.45,50.95,50.65,50.35,78.385,4.81,76.1,50.385,5.05,50.8,63.1,77.0,22.55,54.8,60.55,71.85,52.55,60.55,54.8,55.85,56.05,80.205,77.5,79.655,79.755,79.755,79.755,79.755,72.3,0.0,0.0,0.2704,0.2704,42.55
volume_button_elastomer_gasket,69.8,8.1,6.1,70.275,79.54,79.54,79.72,79.72,60.3,79.52,79.715,79.715,79.715,79.715,79.715,61.3,71.4,43.4,50.1,51.6,2.71,43.2,40.8,40.3,39.55,41.1,77.885,4.225,75.65,49.885,44.14,43.7,70.6,6.1,3.525,8.725,66.725,33.0,33.0,67.1,67.1,61.0,61.0,67.1,67.1,52.8,52.8,64.4,52.8,49.45,49.45,52.1,49.45,30.9,65.0,65.0,58.9,65.0,7.0,65.0,20.9,65.0,10.9,0.0,24.5,0.35,24.5,52.5,74.55,74.55,74.55,74.55,70.4,45.1,76.65,76.2,75.875,75.875,15.0,54.05,53.995,63.755,54.05,54.5,55.7,54.95,54.95,54.1,53.8,53.0,50.5,50.2,49.9,77.885,4.585,75.65,49.885,4.825,50.3,62.65,76.55,22.1,54.3,60.1,71.4,52.1,60.1,54.35,55.4,55.6,79.705,77.0,79.155,79.255,79.255,79.255,79.255,71.8,0.0,0.0,0.0,0.0,42.1
volume_button_labyrinth_lower_rail,69.35,7.775,5.775,69.825,79.09,79.09,79.27,79.27,59.85,79.07,79.265,79.265,79.265,79.265,79.265,60.85,70.95,65.05,53.15,51.275,2.385,64.85,62.45,61.95,61.2,62.75,77.435,4.075,75.325,71.535,65.79,65.35,70.275,5.775,3.375,8.4,66.4,54.65,54.65,66.775,66.775,60.55,60.55,66.775,66.775,52.475,52.475,64.075,59.75,52.9,53.35,53.35,55.55,52.55,64.675,64.675,58.45,64.675,14.55,64.675,20.45,64.675,32.55,0.0,46.15,18.15,24.05,52.05,74.225,74.225,74.225,74.225,69.95,46.65,76.325,75.875,75.55,75.55,36.65,53.725,53.67,63.43,59.105,54.175,55.375,54.625,58.125,53.775,53.475,52.675,53.95,53.65,53.35,77.435,4.435,75.325,71.535,4.675,49.85,62.325,76.225,43.65,53.85,59.775,71.075,51.775,59.775,63.925,73.19,73.37,79.255,76.55,78.705,78.805,78.805,78.805,78.805,71.35,0.2704,0.0,0.0,21.3,41.775
volume_button_labyrinth_upper_rail,91.45,7.775,5.775,91.925,101.19,101.19,101.37,101.37,81.95,101.17,101.365,101.365,101.365,101.365,101.365,82.95,93.05,42.95,49.775,51.275,2.385,42.75,40.35,39.85,39.1,40.65,99.535,4.075,75.325,49.435,43.69,43.25,70.275,5.775,3.375,8.4,66.4,32.55,32.55,66.775,66.775,82.65,82.65,82.65,82.65,52.475,52.475,64.075,52.475,49.125,49.125,51.775,49.125,30.45,64.675,64.675,80.55,80.55,6.675,64.675,42.55,64.675,10.45,0.0,24.05,0.025,46.15,74.15,74.225,74.225,74.225,74.225,92.05,44.775,76.325,75.875,75.55,75.55,14.55,53.725,53.67,63.43,53.725,54.175,55.375,54.625,54.625,53.775,53.475,52.675,50.175,49.875,49.575,99.535,4.435,75.325,49.435,4.675,71.95,62.325,76.225,21.775,75.95,76.15,71.075,51.775,59.775,54.025,55.075,55.275,101.355,98.65,100.805,100.905,100.905,100.905,100.905,93.45,0.2704,0.0,21.3,0.0,41.775
wifi_bt_side_antenna_keepout,107.3,7.5,4.0,107.775,117.04,117.04,117.22,117.22,97.8,117.02,117.215,117.215,117.215,117.215,117.215,98.8,108.9,22.9,11.0,7.9,1.73,22.7,20.3,20.5,19.75,21.3,115.385,41.55,4.7,29.385,23.64,23.2,78.5,0.0,2.6,32.625,0.2,33.0,33.0,12.5,12.5,98.5,98.5,98.5,98.5,6.0,7.0,7.0,17.6,10.75,11.2,11.2,13.4,30.9,0.5657,10.4,96.4,96.4,30.9,18.4,58.4,58.4,30.9,0.0,40.45,40.45,62.0,90.0,4.0,14.0,62.0,90.0,107.9,4.5,14.5,14.0,26.65,13.55,17.0,7.195,7.7,7.7,16.955,7.7,8.9,8.275,15.975,7.3,7.0,8.15,11.8,11.5,11.2,115.385,41.55,5.06,29.385,5.3,87.8,47.5,49.5,2.0,91.8,92.0,4.0,1.8,2.0,21.775,31.04,31.22,117.205,114.5,116.655,116.755,116.755,116.755,116.755,109.3,42.55,42.1,41.775,41.775,0.0
